minute,second,team,location_x,location_y,is_goal,big_chance,header,from_corner,from_fk,direct_fk,penalty,assisted,intentional_assist,fast_break
3,21,DE,72.5,52.4,0,0,0,0,1,0,0,0,0,0
3,35,ARG,93.5,26.8,0,0,0,0,0,0,0,0,0,1
10,10,ARG,73.1,43.1,0,0,0,0,0,0,0,1,0,0
20,11,ARG,82.9,49.7,0,1,0,0,0,0,0,0,0,1
42,53,DE,81.3,53.4,0,0,0,0,0,0,0,1,1,0
45,0,DE,94.9,47,0,1,1,0,0,0,0,1,1,0
46,37,ARG,87.8,67.8,0,1,0,0,0,0,0,1,1,0
58,56,DE,91.2,57,0,0,1,0,0,0,0,1,1,0
62,35,ARG,95.5,66.4,0,0,1,0,0,0,0,1,1,0
71,19,DE,77.1,76.7,0,0,0,0,0,0,0,1,0,0
74,2,ARG,78.9,40.9,0,0,0,0,0,0,0,1,0,0
81,6,DE,81.7,52.4,0,0,0,0,0,0,0,1,1,0
90,0,DE,71.7,50.7,0,0,0,0,0,0,0,0,0,0
90,33,DE,87.3,60.2,0,0,0,0,0,0,0,1,1,0
90,36,DE,86.4,45.8,0,0,0,0,0,0,0,1,1,0
91,58,ARG,94.6,70.7,0,0,0,0,0,0,0,1,1,1
96,41,ARG,91.3,52,0,1,0,0,0,0,0,1,1,0
112,24,DE,96.4,60.2,1,1,0,0,0,0,0,1,1,0
117,0,ARG,85.8,48.9,0,0,1,0,0,0,0,1,1,0
122,49,ARG,72.7,28.8,0,0,0,0,0,0,0,0,0,0