Spieler,Minutenanteil,Alter_Jetzt,Alter_Zugang
Manuel Neuer,1.0000,34.03,25.26
Sven Ulreich,0.0000,31.67,26.91
Christian Früchtl,0.0000,20.19,17.42
Ron-Thorben Hoffmann,0.0000,21,19.24
Lucas Hernández,0.2982,24.14,23.38
David Alaba,0.7947,27.78,18.02
Niklas Süle,0.2853,24.59,21.83
Jérôme Boateng,0.4907,31.59,22.86
Lars Lukas Mai,0.0000,20.01,19.25
Alphonso Davies,0.7071,19.42,18.16
Benjamin Pavard,0.9200,24.02,23.26
Álvaro Odriozola,0.0280,24.31,24.11
Joshua Kimmich,0.9316,25.16,20.39
Javi Martínez,0.2507,31.59,23.99
Thiago,0.7396,28.99,22.26
Leon Goretzka,0.3324,25.16,23.4
Corentin Tolisso,0.2831,25.67,22.91
Michaël Cuisance,0.0164,20.64,20.01
Philippe Coutinho,0.6160,27.81,27.18
Sarpreet Singh,0.0036,21.12,20.36
Kingsley Coman,0.4422,23.81,21.05
Ivan Perisic,0.4213,31.17,30.52
Oliver Batista Meier,0.0000,19.13,15.37
Serge Gnabry,0.7196,24.73,21.97
Leon Dajaku,0.0044,18.98,18.26
Thomas Müller,0.6924,30.56,19.8
Robert Lewandowski,0.9071,31.62,25.86
Joshua Zirkzee,0.0756,18.87,16.26
Fiete Arp,0.0000,20.25,19.48